municipio,uf,ng
Acrelândia,AC,14
Assis Brasil,AC,14
Brasileia,AC,14
Bujari,AC,14
Capixaba,AC,10
Cruzeiro do Sul,AC,14
Epitaciolândia,AC,12
Feijó,AC,16
Jordão,AC,10
Manoel Urbano,AC,14
Marechal Thaumaturgo,AC,12
Mâncio Lima,AC,14
Plácido de Castro,AC,14
Porto Acre,AC,14
Porto Walter,AC,12
Rio Branco,AC,14
Rodrigues Alves,AC,14
Santa Rosa do Purus,AC,12
Sena Madureira,AC,14
Senador Guiomard,AC,14
Tarauacá,AC,14
Xapuri,AC,12
Anadia,AL,2
Arapiraca,AL,2
Atalaia,AL,2
Barra de Santo Antônio,AL,2
Barra de São Miguel,AL,2
Batalha,AL,4
Belo Monte,AL,4
Belém,AL,2
Boca da Mata,AL,2
Branquinha,AL,2
Cacimbinhas,AL,4
Cajueiro,AL,2
Campestre,AL,2
Campo Alegre,AL,2
Campo Grande,AL,2
Canapi,AL,4
Capela,AL,2
Carneiros,AL,4
Chã Preta,AL,2
Coité do Noia,AL,2
Colônia Leopoldina,AL,2
Coqueiro Seco,AL,2
Coruripe,AL,2
Craíbas,AL,2
Delmiro Gouveia,AL,4
Dois Riachos,AL,4
Estrela de Alagoas,AL,2
Feira Grande,AL,2
Feliz Deserto,AL,2
Flexeiras,AL,2
Girau do Ponciano,AL,2
Ibateguara,AL,2
Igaci,AL,2
Igreja Nova,AL,2
Inhapi,AL,4
Jacaré dos Homens,AL,4
Jacuípe,AL,2
Japaratinga,AL,2
Jaramataia,AL,2
Jequiá da Praia,AL,2
Joaquim Gomes,AL,2
Jundiá,AL,2
Junqueiro,AL,2
Lagoa da Canoa,AL,2
Limoeiro de Anadia,AL,2
Maceió,AL,2
Major Isidoro,AL,4
Mar Vermelho,AL,2
Maragogi,AL,2
Maravilha,AL,4
Marechal Deodoro,AL,2
Maribondo,AL,2
Mata Grande,AL,4
Matriz de Camaragibe,AL,2
Messias,AL,2
Minador do Negrão,AL,4
Monteirópolis,AL,4
Murici,AL,2
Novo Lino,AL,2
Olho d’Água Grande,AL,2
Olho d’Água das Flores,AL,4
Olho d’Água do Casado,AL,4
Olivença,AL,4
Ouro Branco,AL,4
Palestina,AL,4
Palmeira dos Índios,AL,2
Pariconha,AL,2
Paripueira,AL,2
Passo de Camaragibe,AL,2
Paulo Jacinto,AL,2
Penedo,AL,2
Piaçabuçu,AL,2
Pilar,AL,2
Pindoba,AL,2
Piranhas,AL,4
Porto Calvo,AL,2
Porto Real do Colégio,AL,2
Porto de Pedras,AL,2
Poço das Trincheiras,AL,4
Pão de Açúcar,AL,4
Quebrângulo,AL,2
Rio Largo,AL,2
Roteiro,AL,2
Santa Luzia do Norte,AL,2
Santana do Ipanema,AL,4
Santana do Mundaú,AL,2
Satuba,AL,2
Senador Rui Palmeira,AL,4
São Brás,AL,2
São José da Laje,AL,2
São José da Tapera,AL,4
São Luís do Quitunde,AL,2
São Miguel dos Campos,AL,2
São Miguel dos Milagres,AL,2
São Sebastião,AL,2
Tanque d’Arca,AL,2
Taquarana,AL,2
Teotônio Vilela,AL,2
Traipu,AL,2
União dos Palmares,AL,2
Viçosa,AL,2
Água Branca,AL,4
Alvarães,AM,20
Amaturá,AM,18
Anamã,AM,22
Anori,AM,28
Apuí,AM,24
Atalaia do Norte,AM,20
Autazes,AM,22
Barcelos,AM,20
Barreirinha,AM,20
Benjamin Constant,AM,18
Beruri,AM,30
Boa Vista do Ramos,AM,20
Boca do Acre,AM,16
Borba,AM,26
Caapiranga,AM,24
Canutama,AM,18
Carauari,AM,20
Careiro,AM,26
Careiro da Várzea,AM,24
Coari,AM,24
Codajás,AM,28
Eirunepé,AM,14
Envira,AM,16
Fonte Boa,AM,18
Guajará,AM,16
Humaitá,AM,22
Ipixuna,AM,14
Iranduba,AM,28
Itacoatiara,AM,24
Itamarati,AM,16
Itapiranga,AM,14
Japurá,AM,20
Juruá,AM,20
Jutaí,AM,16
Lábrea,AM,16
Manacapuru,AM,26
Manaquiri,AM,28
Manaus,AM,32
Manicoré,AM,24
Maraã,AM,22
Maués,AM,24
Nhamundá,AM,18
Nova Olinda do Norte,AM,22
Novo Airão,AM,28
Novo Aripuanã,AM,22
Parintins,AM,20
Pauini,AM,16
Presidente Figueiredo,AM,20
Rio Preto da Eva,AM,26
Santa Isabel do Rio Negro,AM,20
Santo Antônio do Içá,AM,20
Silves,AM,16
São Gabriel da Cachoeira,AM,20
São Paulo de Olivença,AM,18
São Sebastião do Uatumã,AM,16
Tabatinga,AM,16
Tapauá,AM,24
Tefé,AM,22
Tonantins,AM,20
Uarini,AM,22
Urucará,AM,14
Urucurituba,AM,18
Amapá,AP,4
Calçoene,AP,6
Cutias,AP,4
Ferreira Gomes,AP,8
Itaubal,AP,4
Laranjal do Jari,AP,12
Macapá,AP,6
Mazagão,AP,12
Oiapoque,AP,6
Pedra Branca do Amapari,AP,10
Porto Grande,AP,12
Pracuúba,AP,6
Santana,AP,8
Serra do Navio,AP,10
Tartarugalzinho,AP,8
Vitória do Jari,AP,12
Abaré,BA,4
Abaíra,BA,6
Acajutiba,BA,2
Adustina,BA,2
Aiquara,BA,6
Alagoinhas,BA,4
Alcobaça,BA,4
Almadina,BA,4
Amargosa,BA,2
Amélia Rodrigues,BA,4
América Dourada,BA,6
Anagé,BA,4
Andaraí,BA,6
Andorinha,BA,4
Angical,BA,10
Anguera,BA,4
Antas,BA,2
Antônio Cardoso,BA,4
Antônio Gonçalves,BA,4
Aporá,BA,2
Apuarema,BA,4
Aracatu,BA,4
Araci,BA,4
Aramari,BA,4
Arataca,BA,4
Aratuípe,BA,2
Araçás,BA,4
Aurelino Leal,BA,4
Baianópolis,BA,12
Baixa Grande,BA,4
Banzaê,BA,4
Barra,BA,12
Barra da Estiva,BA,6
Barra do Choça,BA,4
Barra do Mendes,BA,6
Barra do Rocha,BA,4
Barreiras,BA,20
Barro Alto,BA,4
Barro Preto,BA,4
Barrocas,BA,2
Belmonte,BA,6
Belo Campo,BA,4
Biritinga,BA,4
Boa Nova,BA,6
Boa Vista do Tupim,BA,6
Bom Jesus da Lapa,BA,14
Bom Jesus da Serra,BA,4
Boninal,BA,4
Bonito,BA,4
Boquira,BA,14
Botuporã,BA,6
Brejolândia,BA,12
Brejões,BA,2
Brotas de Macaúbas,BA,10
Brumado,BA,6
Buerarema,BA,2
Buritirama,BA,8
Caatiba,BA,4
Cabaceiras do Paraguaçu,BA,4
Cachoeira,BA,4
Caculé,BA,4
Caetanos,BA,4
Caetité,BA,6
Cafarnaum,BA,4
Cairu,BA,2
Caldeirão Grande,BA,4
Camacan,BA,4
Camamu,BA,2
Camaçari,BA,2
Campo Alegre de Lourdes,BA,8
Campo Formoso,BA,6
Canarana,BA,4
Canavieiras,BA,6
Candeal,BA,4
Candeias,BA,2
Candiba,BA,6
Cansanção,BA,4
Canudos,BA,4
Canápolis,BA,10
Capela do Alto Alegre,BA,4
Capim Grosso,BA,2
Caravelas,BA,6
Caraíbas,BA,4
Cardeal da Silva,BA,2
Carinhanha,BA,8
Casa Nova,BA,6
Castro Alves,BA,4
Catolândia,BA,10
Catu,BA,2
Caturama,BA,6
Caém,BA,4
Central,BA,6
Chorrochó,BA,4
Cipó,BA,4
Coaraci,BA,4
Cocos,BA,14
Conceição da Feira,BA,4
Conceição do Almeida,BA,2
Conceição do Coité,BA,4
Conceição do Jacuípe,BA,4
Conde,BA,2
Condeúba,BA,4
Contendas do Sincorá,BA,4
Coração de Maria,BA,4
Cordeiros,BA,4
Coribe,BA,10
Coronel João Sá,BA,4
Correntina,BA,16
Cotegipe,BA,14
Cravolândia,BA,4
Cristópolis,BA,14
Crisópolis,BA,4
Cruz das Almas,BA,4
Curaçá,BA,6
Cândido Sales,BA,4
Cícero Dantas,BA,2
Dias d’Ávila,BA,2
Dom Basílio,BA,6
Dom Macedo Costa,BA,2
Dário Meira,BA,6
Elísio Medrado,BA,2
Encruzilhada,BA,6
Entre Rios,BA,4
Esplanada,BA,2
Euclides da Cunha,BA,4
Eunápolis,BA,6
Feira da Mata,BA,8
Feira de Santana,BA,4
Filadélfia,BA,4
Firmino Alves,BA,4
Floresta Azul,BA,4
Formosa do Rio Preto,BA,22
Fátima,BA,2
Gandu,BA,2
Gavião,BA,2
Gentio do Ouro,BA,10
Glória,BA,6
Gongogi,BA,4
Governador Mangabeira,BA,4
Guajeru,BA,4
Guanambi,BA,6
Guaratinga,BA,6
Heliópolis,BA,2
Iaçu,BA,4
Ibiassucê,BA,4
Ibicaraí,BA,4
Ibicoara,BA,6
Ibicuí,BA,4
Ibipeba,BA,6
Ibipitanga,BA,8
Ibiquera,BA,4
Ibirapitanga,BA,2
Ibirapuã,BA,6
Ibirataia,BA,4
Ibitiara,BA,10
Ibititá,BA,4
Ibotirama,BA,14
Ichu,BA,4
Igaporã,BA,6
Igrapiúna,BA,2
Iguaí,BA,4
Ilhéus,BA,4
Inhambupe,BA,4
Ipecaetá,BA,4
Ipiaú,BA,4
Ipirá,BA,4
Ipupiara,BA,8
Irajuba,BA,4
Iramaia,BA,6
Iraquara,BA,4
Irará,BA,4
Irecê,BA,6
Itabela,BA,6
Itaberaba,BA,4
Itabuna,BA,2
Itacaré,BA,2
Itaeté,BA,6
Itagi,BA,8
Itagibá,BA,6
Itagimirim,BA,6
Itaguaçu da Bahia,BA,10
Itaju do Colônia,BA,4
Itajuípe,BA,4
Itamaraju,BA,8
Itamari,BA,4
Itambé,BA,6
Itanagra,BA,2
Itanhém,BA,6
Itaparica,BA,4
Itapebi,BA,6
Itapetinga,BA,4
Itapicuru,BA,4
Itapitanga,BA,4
Itapé,BA,4
Itaquara,BA,4
Itarantim,BA,4
Itatim,BA,2
Itiruçu,BA,4
Itiúba,BA,4
Itororó,BA,4
Ituaçu,BA,6
Ituberá,BA,2
Iuiu,BA,8
Jaborandi,BA,16
Jacaraci,BA,4
Jacobina,BA,4
Jaguaquara,BA,4
Jaguarari,BA,4
Jaguaripe,BA,4
Jandaíra,BA,2
Jequié,BA,8
Jeremoabo,BA,4
Jiquiriçá,BA,2
Jitaúna,BA,6
João Dourado,BA,6
Juazeiro,BA,6
Jucuruçu,BA,8
Jussara,BA,6
Jussari,BA,4
Jussiape,BA,6
Lafaiete Coutinho,BA,6
Lagoa Real,BA,6
Laje,BA,2
Lajedinho,BA,4
Lajedo do Tabocal,BA,6
Lajedão,BA,6
Lamarão,BA,2
Lapão,BA,6
